GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora object serialization in BagIt form,org.fcrepo.serialization.bagit,BagItSerializer,282,518,44,22,14,94,31,10,1,7
Fedora object serialization in BagIt form,org.fcrepo.serialization.bagit,BagItSerializer.1.new Function() {...},23,0,0,0,4,0,2,0,2,0
Fedora object serialization in BagIt form,org.fcrepo.serialization.bagit,BagItSerializer.new Function() {...},0,15,0,0,0,2,0,2,0,2
Fedora object serialization in BagIt form,org.fcrepo.serialization.bagit,BagItSerializer.new Predicate() {...},2,22,1,3,0,2,1,3,0,2
Fedora object serialization in BagIt form,org.fcrepo.serialization.bagit,BagItSerializer.new Function() {...},33,6,2,0,6,1,2,1,1,1
